ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142824,"Московская область","Реутов","Московская область, Реутов, Новая улица, 14к3",117000,117000,117000,1,9,"37.854575 55.755682","37.862785 55.760312","POINT(37.85868 55.757997)","55.757997","37.85868","2016-10-01 00:00:00","myData.biz"
142825,"Московская область","Реутов","Московская область, Реутов, микрорайон 6А, к3",74000,79000,84000,6,25,"37.84455 55.772801","37.85276 55.777429","POINT(37.848655 55.775115)","55.775115","37.848655","2016-10-01 00:00:00","myData.biz"
142826,"Московская область","Реутов","Московская область, Реутов, Лесная улица, 6",101000,114000,125000,3,9,"37.848817 55.758767","37.857027 55.763397","POINT(37.852922 55.761082)","55.761082","37.852922","2016-09-01 00:00:00","myData.biz"
142827,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 3",109000,109000,109000,1,9,"37.843732 55.750109","37.851943 55.75474","POINT(37.847838 55.752425)","55.752425","37.847838","2016-10-01 00:00:00","myData.biz"
142828,"Московская область","Реутов","Московская область, Реутов, улица Калинина, 14",124000,127000,131000,2,9,"37.852617 55.752029","37.860827 55.75666","POINT(37.856722 55.754345)","55.754345","37.856722","2016-10-01 00:00:00","myData.biz"
142829,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 9",110000,110000,110000,2,5,"37.846634 55.752531","37.854844 55.757161","POINT(37.850739 55.754846)","55.754846","37.850739","2016-10-01 00:00:00","myData.biz"
142830,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 30/2",109000,119000,130000,2,9,"37.860881 55.747155","37.869092 55.751786","POINT(37.864986 55.749471)","55.749471","37.864986","2016-10-01 00:00:00","myData.biz"
142831,"Московская область","Реутов","Московская область, Реутов, Садовый проезд, 1",117000,117000,117000,1,9,"37.846562 55.764977","37.854773 55.769605","POINT(37.850667 55.767291)","55.767291","37.850667","2016-09-01 00:00:00","myData.biz"
142832,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 26",108000,108000,108000,1,5,"37.862094 55.761396","37.870304 55.766025","POINT(37.866199 55.763711)","55.763711","37.866199","2016-09-01 00:00:00","myData.biz"
142833,"Московская область","Реутов","Московская область, Реутов, Садовый проезд, 4",108000,111000,115000,2,5,"37.846867 55.766638","37.855078 55.771266","POINT(37.850973 55.768952)","55.768952","37.850973","2016-09-01 00:00:00","myData.biz"
142834,"Московская область","Реутов","Московская область, Реутов, улица Победы, 14",114000,117000,119000,2,5,"37.851449 55.761148","37.859659 55.765777","POINT(37.855554 55.763462)","55.763462","37.855554","2016-09-01 00:00:00","myData.biz"
142835,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 6",104000,104000,104000,1,3,"37.8487 55.75172","37.856911 55.756351","POINT(37.852805 55.754036)","55.754036","37.852805","2016-09-01 00:00:00","myData.biz"
142836,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 6",145000,149000,153000,2,9,"37.851628 55.744728","37.859839 55.749359","POINT(37.855734 55.747044)","55.747044","37.855734","2016-09-01 00:00:00","myData.biz"
142837,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 62",153000,153000,153000,1,17,"37.877132 55.749638","37.885342 55.754269","POINT(37.881237 55.751953)","55.751953","37.881237","2016-09-01 00:00:00","myData.biz"
