ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142671,"Московская область","Реутов","Московская область, Реутов, улица Октября, 48",99000,107000,123000,8,25,"37.879081 55.75363","37.887292 55.75826","POINT(37.883186 55.755945)","55.755945","37.883186","2016-10-01 00:00:00","myData.biz"
142672,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 6",116000,123000,133000,5,9,"37.860576 55.746259","37.868786 55.75089","POINT(37.864681 55.748574)","55.748574","37.864681","2016-10-01 00:00:00","myData.biz"
142673,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 40",129000,137000,145000,6,20,"37.863639 55.758661","37.871849 55.76329","POINT(37.867744 55.760975)","55.760975","37.867744","2016-10-01 00:00:00","myData.biz"
142674,"Московская область","Реутов","Московская область, Реутов, улица Реутовских ополченцев, 2",84000,91000,98000,2,25,"37.842726 55.768972","37.850937 55.773601","POINT(37.846831 55.771287)","55.771287","37.846831","2016-10-01 00:00:00","myData.biz"
142675,"Московская область","Реутов","Московская область, Реутов, улица Октября, 44",88000,102000,119000,6,25,"37.877383 55.753301","37.885594 55.757931","POINT(37.881488 55.755616)","55.755616","37.881488","2016-10-01 00:00:00","myData.biz"
142676,"Московская область","Реутов","Московская область, Реутов, улица Некрасова, 26",115000,123000,133000,3,12,"37.847209 55.770623","37.855419 55.775251","POINT(37.851314 55.772937)","55.772937","37.851314","2016-10-01 00:00:00","myData.biz"
142677,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 27",105000,126000,142000,33,25,"37.872775 55.747241","37.880985 55.751872","POINT(37.87688 55.749557)","55.749557","37.87688","2016-10-01 00:00:00","myData.biz"
142678,"Московская область","Реутов","Московская область, Реутов, улица Октября, 52",90000,110000,127000,17,25,"37.880383 55.753899","37.888594 55.758529","POINT(37.884489 55.756214)","55.756214","37.884489","2016-10-01 00:00:00","myData.biz"
142679,"Московская область","Реутов","Московская область, Реутов, улица Октября, 42",94000,140000,156000,10,25,"37.87626 55.752374","37.884471 55.757004","POINT(37.880366 55.754689)","55.754689","37.880366","2016-10-01 00:00:00","myData.biz"
142680,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 69",99000,111000,134000,7,25,"37.882566 55.753174","37.890777 55.757805","POINT(37.886672 55.75549)","55.75549","37.886672","2016-10-01 00:00:00","myData.biz"
142681,"Московская область","Реутов","Московская область, Реутов, улица Октября, 24",146000,155000,160000,4,17,"37.866478 55.751315","37.874688 55.755945","POINT(37.870583 55.75363)","55.75363","37.870583","2016-10-01 00:00:00","myData.biz"
142682,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 72",108000,136000,172000,12,23,"37.879611 55.750783","37.887822 55.755414","POINT(37.883716 55.753098)","55.753098","37.883716","2016-10-01 00:00:00","myData.biz"
142683,"Московская область","Реутов","Московская область, Реутов, улица Ленина, 21",132000,132000,132000,1,5,"37.851431 55.756138","37.859641 55.760768","POINT(37.855536 55.758453)","55.758453","37.855536","2016-10-01 00:00:00","myData.biz"
142684,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 23",86000,86000,86000,1,6,"37.85983 55.762581","37.868041 55.76721","POINT(37.863935 55.764896)","55.764896","37.863935","2016-10-01 00:00:00","myData.biz"
142685,"Московская область","Реутов","Московская область, Реутов, улица Академика Челомея, 7",126000,149000,168000,4,25,"37.875281 55.748929","37.883492 55.753559","POINT(37.879386 55.751244)","55.751244","37.879386","2016-10-01 00:00:00","myData.biz"
142686,"Московская область","Реутов","Московская область, Реутов, Новая улица, 2",121000,121000,121000,1,17,"37.848278 55.754714","37.856488 55.759344","POINT(37.852383 55.75703)","55.75703","37.852383","2016-10-01 00:00:00","myData.biz"
142687,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 49",125000,147000,191000,5,25,"37.874239 55.750692","37.88245 55.755322","POINT(37.878344 55.753007)","55.753007","37.878344","2016-10-01 00:00:00","myData.biz"
142688,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 51",105000,127000,145000,11,19,"37.875398 55.750753","37.883608 55.755383","POINT(37.879503 55.753068)","55.753068","37.879503","2016-10-01 00:00:00","myData.biz"
142689,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 2",78000,85000,93000,68,25,"37.846158 55.754269","37.854368 55.758899","POINT(37.850263 55.756584)","55.756584","37.850263","2016-10-01 00:00:00","myData.biz"
142690,"Московская область","Реутов","Московская область, Реутов, Лесная улица, 8",107000,129000,163000,5,9,"37.847855 55.758858","37.856066 55.763488","POINT(37.851961 55.761173)","55.761173","37.851961","2016-10-01 00:00:00","myData.biz"
142691,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 67",115000,118000,121000,2,18,"37.882477 55.752151","37.890687 55.756781","POINT(37.886582 55.754466)","55.754466","37.886582","2016-10-01 00:00:00","myData.biz"
142692,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 42",84000,105000,142000,14,25,"37.868121 55.747267","37.876332 55.751898","POINT(37.872227 55.749582)","55.749582","37.872227","2016-10-01 00:00:00","myData.biz"
142693,"Московская область","Реутов","Московская область, Реутов, Советская улица, 14к1",109000,121000,130000,7,24,"37.854746 55.766501","37.862956 55.77113","POINT(37.858851 55.768815)","55.768815","37.858851","2016-10-01 00:00:00","myData.biz"
142694,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 33",118000,133000,162000,7,17,"37.857378 55.756528","37.865588 55.761158","POINT(37.861483 55.758843)","55.758843","37.861483","2016-10-01 00:00:00","myData.biz"
142695,"Московская область","Реутов","Московская область, Реутов, Парковая улица, 8к1",112000,137000,159000,11,25,"37.861492 55.758802","37.869703 55.763432","POINT(37.865597 55.761117)","55.761117","37.865597","2016-10-01 00:00:00","myData.biz"
142696,"Московская область","Реутов","Московская область, Реутов, Парковая улица, 6",117000,130000,146000,8,17,"37.859444 55.758027","37.867654 55.762657","POINT(37.863549 55.760342)","55.760342","37.863549","2016-10-01 00:00:00","myData.biz"
142697,"Московская область","Реутов","Московская область, Реутов, улица Академика Челомея, 9",136000,145000,148000,8,17,"37.87582 55.748194","37.884031 55.752825","POINT(37.879925 55.75051)","55.75051","37.879925","2016-10-01 00:00:00","myData.biz"
142698,"Московская область","Реутов","Московская область, Реутов, Молодёжная улица, 1",132000,142000,158000,4,17,"37.842825 55.745509","37.851036 55.75014","POINT(37.84693 55.747824)","55.747824","37.84693","2016-10-01 00:00:00","myData.biz"
142699,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 25",106000,144000,187000,13,25,"37.870861 55.747196","37.879072 55.751827","POINT(37.874967 55.749511)","55.749511","37.874967","2016-10-01 00:00:00","myData.biz"
142700,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 61",114000,141000,174000,5,25,"37.878695 55.751477","37.886905 55.756108","POINT(37.8828 55.753792)","55.753792","37.8828","2016-10-01 00:00:00","myData.biz"
142701,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 26",130000,135000,138000,4,25,"37.846562 55.755859","37.854773 55.760489","POINT(37.850667 55.758174)","55.758174","37.850667","2016-10-01 00:00:00","myData.biz"
142702,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 57",87000,92000,97000,2,12,"37.860504 55.769064","37.868714 55.773692","POINT(37.864609 55.771378)","55.771378","37.864609","2016-10-01 00:00:00","myData.biz"
142703,"Московская область","Реутов","Московская область, Реутов, Садовый проезд, 3к1",96000,116000,126000,5,25,"37.848296 55.766552","37.856506 55.77118","POINT(37.852401 55.768866)","55.768866","37.852401","2016-10-01 00:00:00","myData.biz"
142704,"Московская область","Реутов","Московская область, Балашиха, микрорайон Салтыковка, Носовихинское шоссе, 35",116000,116000,116000,1,14,"37.887938 55.749831","37.896149 55.754461","POINT(37.892044 55.752146)","55.752146","37.892044","2016-10-01 00:00:00","myData.biz"
142705,"Московская область","Реутов","Московская область, Реутов, Южная улица, 15",122000,129000,140000,3,16,"37.859282 55.744647","37.867493 55.749278","POINT(37.863387 55.746963)","55.746963","37.863387","2016-10-01 00:00:00","myData.biz"
142706,"Московская область","Реутов","Московская область, Реутов, улица Войтовича, 4",108000,108000,108000,1,5,"37.852149 55.753382","37.86036 55.758012","POINT(37.856255 55.755697)","55.755697","37.856255","2016-10-01 00:00:00","myData.biz"
142707,"Московская область","Реутов","Московская область, Реутов, микрорайон 6А, к2",80000,89000,99000,5,25,"37.844882 55.771454","37.853093 55.776082","POINT(37.848987 55.773768)","55.773768","37.848987","2016-10-01 00:00:00","myData.biz"
142708,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 16",126000,159000,193000,15,25,"37.857207 55.746218","37.865418 55.750849","POINT(37.861312 55.748534)","55.748534","37.861312","2016-10-01 00:00:00","myData.biz"
142709,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 27",113000,116000,119000,2,25,"37.856461 55.754669","37.864672 55.759299","POINT(37.860567 55.756984)","55.756984","37.860567","2016-10-01 00:00:00","myData.biz"
142710,"Московская область","Реутов","Московская область, Реутов, улица Головашкина, 10",100000,107000,120000,3,9,"37.849158 55.769433","37.857369 55.774062","POINT(37.853263 55.771747)","55.771747","37.853263","2016-10-01 00:00:00","myData.biz"
142711,"Московская область","Реутов","Московская область, Реутов, улица Дзержинского, 2к4",146000,146000,146000,1,16,"37.844846 55.750449","37.853057 55.755079","POINT(37.848951 55.752764)","55.752764","37.848951","2016-10-01 00:00:00","myData.biz"
142712,"Московская область","Реутов","Московская область, Реутов, улица Октября, 18",103000,142000,166000,9,18,"37.864277 55.75091","37.872487 55.75554","POINT(37.868382 55.753225)","55.753225","37.868382","2016-10-01 00:00:00","myData.biz"
142713,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 5",108000,108000,108000,2,5,"37.857557 55.759198","37.865768 55.763827","POINT(37.861663 55.761512)","55.761512","37.861663","2016-10-01 00:00:00","myData.biz"
142714,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 63",100000,130000,152000,16,17,"37.879871 55.751624","37.888082 55.756254","POINT(37.883977 55.753939)","55.753939","37.883977","2016-10-01 00:00:00","myData.biz"
142715,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 2к1",134000,160000,176000,7,16,"37.850506 55.744607","37.858716 55.749238","POINT(37.854611 55.746922)","55.746922","37.854611","2016-10-01 00:00:00","myData.biz"
142716,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 66",128000,160000,215000,7,17,"37.877581 55.750368","37.885791 55.754998","POINT(37.881686 55.752683)","55.752683","37.881686","2016-10-01 00:00:00","myData.biz"
142717,"Московская область","Реутов","Московская область, Реутов, улица Победы, 22к1",124000,124000,125000,2,14,"37.845241 55.76526","37.853452 55.769889","POINT(37.849347 55.767575)","55.767575","37.849347","2016-10-01 00:00:00","myData.biz"
142718,"Московская область","Реутов","Московская область, Реутов, улица Головашкина, 3к1",70000,87000,109000,33,24,"37.849248 55.767458","37.857458 55.772087","POINT(37.853353 55.769773)","55.769773","37.853353","2016-10-01 00:00:00","myData.biz"
142719,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 22",144000,153000,166000,3,24,"37.869181 55.747145","37.877392 55.751776","POINT(37.873287 55.749461)","55.749461","37.873287","2016-10-01 00:00:00","myData.biz"
142720,"Московская область","Реутов","Московская область, Реутов, улица Калинина, 12",132000,145000,156000,3,9,"37.852527 55.751741","37.860737 55.756371","POINT(37.856632 55.754056)","55.754056","37.856632","2016-10-01 00:00:00","myData.biz"
142721,"Московская область","Реутов","Московская область, Реутов, Новая улица, 18",92000,115000,155000,9,25,"37.856919 55.755804","37.86513 55.760434","POINT(37.861025 55.758119)","55.758119","37.861025","2016-10-01 00:00:00","myData.biz"
142722,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 4",138000,138000,138000,1,5,"37.848862 55.751097","37.857072 55.755728","POINT(37.852967 55.753413)","55.753413","37.852967","2016-10-01 00:00:00","myData.biz"
142723,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 55",89000,90000,91000,2,5,"37.858716 55.769286","37.866927 55.773915","POINT(37.862821 55.771601)","55.771601","37.862821","2016-10-01 00:00:00","myData.biz"
142724,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 14",86000,98000,133000,11,25,"37.847802 55.753448","37.856012 55.758078","POINT(37.851907 55.755763)","55.755763","37.851907","2016-10-01 00:00:00","myData.biz"
142725,"Московская область","Реутов","Московская область, Реутов, микрорайон 6А, к7",64000,73000,89000,16,25,"37.842771 55.772461","37.850982 55.777089","POINT(37.846876 55.774775)","55.774775","37.846876","2016-10-01 00:00:00","myData.biz"
142726,"Московская область","Реутов","Московская область, Реутов, Южная улица, 2",148000,150000,151000,2,9,"37.855437 55.74786","37.863648 55.75249","POINT(37.859543 55.750175)","55.750175","37.859543","2016-10-01 00:00:00","myData.biz"
142727,"Московская область","Реутов","Московская область, Реутов, Южная улица, 10",115000,122000,128000,6,14,"37.857467 55.744672","37.865678 55.749304","POINT(37.861573 55.746988)","55.746988","37.861573","2016-10-01 00:00:00","myData.biz"
142728,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 33",146000,153000,164000,3,22,"37.865741 55.749","37.873952 55.75363","POINT(37.869846 55.751315)","55.751315","37.869846","2016-10-01 00:00:00","myData.biz"
142729,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 19Б",102000,111000,127000,3,5,"37.857135 55.754183","37.865346 55.758813","POINT(37.86124 55.756498)","55.756498","37.86124","2016-10-01 00:00:00","myData.biz"
142730,"Московская область","Реутов","Московская область, Реутов, Садовый проезд, 3",100000,118000,148000,4,10,"37.848421 55.766101","37.856632 55.77073","POINT(37.852527 55.768415)","55.768415","37.852527","2016-10-01 00:00:00","myData.biz"
142731,"Московская область","Реутов","Московская область, Реутов, Советская улица, 24",99000,114000,123000,3,5,"37.85683 55.765068","37.86504 55.769697","POINT(37.860935 55.767382)","55.767382","37.860935","2016-10-01 00:00:00","myData.biz"
142732,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 18/2",115000,132000,147000,9,16,"37.847281 55.754031","37.855491 55.758661","POINT(37.851386 55.756346)","55.756346","37.851386","2016-10-01 00:00:00","myData.biz"
142733,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 6",151000,153000,154000,3,16,"37.853973 55.743634","37.862184 55.748265","POINT(37.858078 55.745949)","55.745949","37.858078","2016-10-01 00:00:00","myData.biz"
142734,"Московская область","Реутов","Московская область, Реутов, улица Октября, 28",111000,137000,148000,12,18,"37.868517 55.751685","37.876727 55.756315","POINT(37.872622 55.754)","55.754","37.872622","2016-10-01 00:00:00","myData.biz"
142735,"Московская область","Реутов","Московская область, Реутов, Советская улица, 4к1",117000,130000,142000,9,25,"37.851089 55.762449","37.8593 55.767078","POINT(37.855195 55.764764)","55.764764","37.855195","2016-10-01 00:00:00","myData.biz"
142736,"Московская область","Реутов","Московская область, Реутов, улица Октября, 22",145000,152000,162000,5,18,"37.865669 55.75056","37.87388 55.755191","POINT(37.869774 55.752875)","55.752875","37.869774","2016-10-01 00:00:00","myData.biz"
142737,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 38",126000,133000,141000,2,17,"37.861294 55.759638","37.869505 55.764268","POINT(37.8654 55.761953)","55.761953","37.8654","2016-10-01 00:00:00","myData.biz"
142738,"Московская область","Реутов","Московская область, Реутов, улица Октября, 20",143000,157000,200000,8,25,"37.864295 55.750165","37.872505 55.754796","POINT(37.8684 55.75248)","55.75248","37.8684","2016-10-01 00:00:00","myData.biz"
142739,"Московская область","Реутов","Московская область, Реутов, улица Ленина, 3",112000,130000,143000,4,14,"37.852841 55.750915","37.861052 55.755545","POINT(37.856946 55.75323)","55.75323","37.856946","2016-10-01 00:00:00","myData.biz"
142740,"Московская область","Реутов","Московская область, Реутов, Советская улица, 13",89000,106000,118000,5,5,"37.856246 55.766759","37.864456 55.771388","POINT(37.860351 55.769074)","55.769074","37.860351","2016-10-01 00:00:00","myData.biz"
142741,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 36",122000,145000,166000,3,9,"37.8654 55.748078","37.87361 55.752708","POINT(37.869505 55.750393)","55.750393","37.869505","2016-10-01 00:00:00","myData.biz"
142742,"Московская область","Реутов","Московская область, Реутов, улица Войтовича, 3",125000,125000,126000,2,17,"37.851179 55.752987","37.85939 55.757617","POINT(37.855285 55.755302)","55.755302","37.855285","2016-10-01 00:00:00","myData.biz"
142743,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 41",138000,147000,150000,4,17,"37.869523 55.749699","37.877733 55.754329","POINT(37.873628 55.752014)","55.752014","37.873628","2016-10-01 00:00:00","myData.biz"
142744,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 4к1",121000,148000,176000,2,14,"37.861546 55.745833","37.869756 55.750464","POINT(37.865651 55.748148)","55.748148","37.865651","2016-10-01 00:00:00","myData.biz"
142745,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 5А",118000,148000,177000,2,9,"37.8434 55.751589","37.85161 55.756219","POINT(37.847505 55.753904)","55.753904","37.847505","2016-10-01 00:00:00","myData.biz"
142746,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 13",101000,102000,103000,2,5,"37.857297 55.759932","37.865507 55.764561","POINT(37.861402 55.762247)","55.762247","37.861402","2016-10-01 00:00:00","myData.biz"
142747,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 21",112000,141000,172000,4,10,"37.868202 55.746405","37.876413 55.751036","POINT(37.872308 55.748721)","55.748721","37.872308","2016-10-01 00:00:00","myData.biz"
142748,"Московская область","Реутов","Московская область, Реутов, улица Головашкина, 8",98000,115000,131000,2,9,"37.849814 55.769023","37.858024 55.773651","POINT(37.853919 55.771337)","55.771337","37.853919","2016-10-01 00:00:00","myData.biz"
142749,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 16",110000,123000,136000,2,5,"37.86716 55.746492","37.875371 55.751123","POINT(37.871266 55.748807)","55.748807","37.871266","2016-10-01 00:00:00","myData.biz"
142750,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 15",122000,124000,126000,2,9,"37.853362 55.74748","37.861573 55.75211","POINT(37.857467 55.749795)","55.749795","37.857467","2016-10-01 00:00:00","myData.biz"
142751,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 3А",162000,163000,165000,2,9,"37.84349 55.750839","37.8517 55.755469","POINT(37.847595 55.753154)","55.753154","37.847595","2016-10-01 00:00:00","myData.biz"
142752,"Московская область","Реутов","Московская область, Реутов, улица Реутовских ополченцев, 4",69000,84000,100000,2,25,"37.842735 55.769535","37.850946 55.774163","POINT(37.84684 55.771849)","55.771849","37.84684","2016-10-01 00:00:00","myData.biz"
142753,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 10",132000,154000,168000,3,10,"37.852805 55.745656","37.861016 55.750287","POINT(37.856911 55.747971)","55.747971","37.856911","2016-10-01 00:00:00","myData.biz"
142754,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 48",104000,118000,135000,3,16,"37.869658 55.747591","37.877868 55.752222","POINT(37.873763 55.749907)","55.749907","37.873763","2016-10-01 00:00:00","myData.biz"
142755,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 17А",116000,116000,116000,1,5,"37.855949 55.762834","37.86416 55.767463","POINT(37.860055 55.765149)","55.765149","37.860055","2016-10-01 00:00:00","myData.biz"
142756,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 44",133000,144000,154000,2,14,"37.868418 55.74865","37.876629 55.753281","POINT(37.872523 55.750965)","55.750965","37.872523","2016-10-01 00:00:00","myData.biz"
142757,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 5",115000,115000,115000,1,9,"37.843265 55.752308","37.851476 55.756938","POINT(37.84737 55.754623)","55.754623","37.84737","2016-10-01 00:00:00","myData.biz"
142758,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 60",135000,154000,178000,9,17,"37.875416 55.749993","37.883626 55.754623","POINT(37.879521 55.752308)","55.752308","37.879521","2016-10-01 00:00:00","myData.biz"
142759,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 27к1",133000,133000,133000,1,18,"37.85497 55.754689","37.863181 55.759319","POINT(37.859075 55.757004)","55.757004","37.859075","2016-10-01 00:00:00","myData.biz"
142760,"Московская область","Реутов","Московская область, Реутов, Советская улица, 11",142000,142000,142000,1,5,"37.856147 55.766076","37.864358 55.770704","POINT(37.860252 55.76839)","55.76839","37.860252","2016-10-01 00:00:00","myData.biz"
142761,"Московская область","Реутов","Московская область, Реутов, Советская улица, 23",113000,113000,113000,1,5,"37.856066 55.76799","37.864277 55.772618","POINT(37.860171 55.770304)","55.770304","37.860171","2016-10-01 00:00:00","myData.biz"
142762,"Московская область","Реутов","Московская область, Реутов, микрорайон 6А, к4",74000,79000,85000,13,25,"37.84446 55.773272","37.85267 55.777899","POINT(37.848565 55.775586)","55.775586","37.848565","2016-10-01 00:00:00","myData.biz"
142763,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 33",111000,111000,111000,1,5,"37.85895 55.763331","37.86716 55.76796","POINT(37.863055 55.765645)","55.765645","37.863055","2016-10-01 00:00:00","myData.biz"
142764,"Московская область","Реутов","Московская область, Реутов, улица Октября, 5",93000,119000,148000,7,25,"37.847936 55.747206","37.856147 55.751837","POINT(37.852042 55.749522)","55.749522","37.852042","2016-10-01 00:00:00","myData.biz"
142765,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 56",110000,110000,110000,1,14,"37.871948 55.748782","37.880159 55.753413","POINT(37.876054 55.751097)","55.751097","37.876054","2016-10-01 00:00:00","myData.biz"
142766,"Московская область","Реутов","Московская область, Реутов, Парковая улица, 8к2",120000,126000,133000,8,24,"37.862013 55.758321","37.870224 55.762951","POINT(37.866118 55.760636)","55.760636","37.866118","2016-10-01 00:00:00","myData.biz"
142767,"Московская область","Реутов","Московская область, Реутов, улица Кирова, 7",126000,131000,139000,3,17,"37.847083 55.7567","37.855294 55.76133","POINT(37.851188 55.759015)","55.759015","37.851188","2016-10-01 00:00:00","myData.biz"
142768,"Московская область","Реутов","Московская область, Реутов, улица Октября, 4",98000,98000,98000,1,17,"37.847757 55.746476","37.855967 55.751107","POINT(37.851862 55.748792)","55.748792","37.851862","2016-10-01 00:00:00","myData.biz"
142769,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 12",129000,145000,168000,6,23,"37.848682 55.752617","37.856893 55.757247","POINT(37.852787 55.754932)","55.754932","37.852787","2016-10-01 00:00:00","myData.biz"
142770,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 53",106000,117000,146000,8,25,"37.87679 55.751817","37.885001 55.756447","POINT(37.880896 55.754132)","55.754132","37.880896","2016-10-01 00:00:00","myData.biz"
142771,"Московская область","Реутов","Московская область, Реутов, Молодёжная улица, 4",125000,129000,133000,4,17,"37.844244 55.744966","37.852455 55.749598","POINT(37.84835 55.747282)","55.747282","37.84835","2016-10-01 00:00:00","myData.biz"
142772,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 25",145000,151000,156000,3,10,"37.857441 55.755307","37.865651 55.759937","POINT(37.861546 55.757622)","55.757622","37.861546","2016-10-01 00:00:00","myData.biz"
142773,"Московская область","Реутов","Московская область, Реутов, улица Октября, 3",103000,111000,119000,2,25,"37.846319 55.746633","37.85453 55.751264","POINT(37.850425 55.748949)","55.748949","37.850425","2016-10-01 00:00:00","myData.biz"
142774,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 1",118000,130000,142000,2,17,"37.845996 55.743791","37.854207 55.748422","POINT(37.850101 55.746106)","55.746106","37.850101","2016-10-01 00:00:00","myData.biz"
142775,"Московская область","Реутов","Московская область, Реутов, Новая улица, 6",102000,107000,113000,9,14,"37.849266 55.754917","37.857476 55.759547","POINT(37.853371 55.757232)","55.757232","37.853371","2016-10-01 00:00:00","myData.biz"
142776,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 26",134000,137000,139000,2,14,"37.859605 55.746689","37.867816 55.75132","POINT(37.863711 55.749005)","55.749005","37.863711","2016-10-01 00:00:00","myData.biz"
142777,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 10",103000,134000,159000,10,25,"37.848035 55.752951","37.856246 55.757582","POINT(37.85214 55.755267)","55.755267","37.85214","2016-10-01 00:00:00","myData.biz"
142778,"Московская область","Реутов","Московская область, Реутов, улица Ленина, 19/10",128000,128000,128000,1,14,"37.852105 55.755074","37.860315 55.759704","POINT(37.85621 55.757389)","55.757389","37.85621","2016-10-01 00:00:00","myData.biz"
142779,"Московская область","Реутов","Московская область, Реутов, микрорайон 6А, к8",66000,76000,85000,7,25,"37.842331 55.771383","37.850541 55.776011","POINT(37.846436 55.773697)","55.773697","37.846436","2016-10-01 00:00:00","myData.biz"
142780,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 14",159000,159000,159000,2,9,"37.855105 55.746061","37.863315 55.750692","POINT(37.85921 55.748376)","55.748376","37.85921","2016-10-01 00:00:00","myData.biz"
142781,"Московская область","Реутов","Московская область, Реутов, Новая улица, 19",104000,117000,129000,3,17,"37.855392 55.756827","37.863603 55.761457","POINT(37.859498 55.759142)","55.759142","37.859498","2016-10-01 00:00:00","myData.biz"
142782,"Московская область","Реутов","Московская область, Реутов, улица Некрасова, 14",102000,115000,135000,3,9,"37.846562 55.768137","37.854773 55.772765","POINT(37.850667 55.770451)","55.770451","37.850667","2016-10-01 00:00:00","myData.biz"
142783,"Московская область","Реутов","Московская область, Реутов, улица Строителей, 1",100000,102000,103000,2,9,"37.846472 55.761325","37.854683 55.765954","POINT(37.850577 55.76364)","55.76364","37.850577","2016-10-01 00:00:00","myData.biz"
142784,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 17",113000,134000,140000,5,5,"37.8676 55.74561","37.875811 55.750241","POINT(37.871706 55.747926)","55.747926","37.871706","2016-10-01 00:00:00","myData.biz"
142785,"Московская область","Реутов","Московская область, Реутов, улица Академика Челомея, 12",111000,129000,143000,3,25,"37.874401 55.746689","37.882611 55.75132","POINT(37.878506 55.749005)","55.749005","37.878506","2016-10-01 00:00:00","myData.biz"
142786,"Московская область","Реутов","Московская область, Реутов, проспект Мира, 49",109000,113000,117000,2,5,"37.8601 55.767955","37.86831 55.772583","POINT(37.864205 55.770269)","55.770269","37.864205","2016-10-01 00:00:00","myData.biz"
142787,"Московская область","Реутов","Московская область, Реутов, улица Головашкина, 5",96000,102000,107000,2,9,"37.848089 55.768451","37.8563 55.773079","POINT(37.852194 55.770765)","55.770765","37.852194","2016-10-01 00:00:00","myData.biz"
142788,"Московская область","Реутов","Московская область, Реутов, улица Октября, 30",127000,142000,154000,8,25,"37.869092 55.750646","37.877302 55.755277","POINT(37.873197 55.752962)","55.752962","37.873197","2016-10-01 00:00:00","myData.biz"
142789,"Московская область","Реутов","Московская область, Реутов, улица Некрасова, 12",98000,113000,129000,2,9,"37.843849 55.768436","37.85206 55.773064","POINT(37.847954 55.77075)","55.77075","37.847954","2016-10-01 00:00:00","myData.biz"
142790,"Московская область","Реутов","Московская область, Реутов, Советская улица, 28",111000,111000,111000,1,5,"37.858213 55.764901","37.866424 55.76953","POINT(37.862318 55.767215)","55.767215","37.862318","2016-10-01 00:00:00","myData.biz"
142791,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 37",115000,138000,154000,12,23,"37.867798 55.749288","37.876009 55.753919","POINT(37.871903 55.751604)","55.751604","37.871903","2016-10-01 00:00:00","myData.biz"
